row_number,transction_year,transction_month,province_name_th,province_name_en,district_name_th,district_name_en,propertytype_name_th,propertytype_name_en,volume_of_project,interest,day
1190,2021,3,กรุงเทพมหานคร,Bangkok,บางกะปิ,BANG KAPI,คอนโด,Condo,17,43,2023-08-31
2245,2020,5,กรุงเทพมหานคร,Bangkok,พระโขนง,PHRA KHANONG,ทาวน์โฮม,Townhome,25,59,2023-08-31
201,2019,11,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,ทาวน์โฮม,Townhome,39,636,2023-08-31
1349,2021,12,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,ทาวน์โฮม,Townhome,28,409,2023-08-31
1781,2022,1,กรุงเทพมหานคร,Bangkok,บางเขน,BANG KHEN,คอนโด,Condo,11,19,2023-08-31
6,2020,6,ปทุมธานี,Pathum Thani,ธัญบุรี,THANYABURI,บ้าน,Detached House,24,669,2023-08-31
110,2022,6,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,TALING CHAN,บ้านแฝด,Twin house,19,485,2023-08-31
1975,2022,3,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้านแฝด,Twin house,41,478,2023-08-31
1533,2020,1,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,บ้านแฝด,Twin house,39,508,2023-08-31
2154,2022,9,กรุงเทพมหานคร,Bangkok,หนองแขม,NONG KHAEM,ทาวน์โฮม,Townhome,15,621,2023-08-31
521,2021,12,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,บ้าน,Detached House,40,275,2023-08-31
1532,2020,1,กรุงเทพมหานคร,Bangkok,สวนหลวง,SUAN LUANG,คอนโด,Condo,65,383,2023-08-31
413,2019,9,กรุงเทพมหานคร,Bangkok,พระโขนง,PHRA KHANONG,บ้านแฝด,Twin house,28,276,2023-08-31
1520,2021,3,กรุงเทพมหานคร,Bangkok,บางแค,BANG KHAE,ทาวน์โฮม,Townhome,35,403,2023-08-31
2272,2022,11,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,ทาวน์โฮม,Townhome,6,13,2023-08-31
744,2020,3,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,อาคารพาณิชย์,Commercial,12,41,2023-08-31
613,2020,11,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,49,412,2023-08-31
1845,2022,9,นครปฐม,Nakhon Pathom,สามพราน,SAM PHRAN,ทาวน์โฮม,Townhome,21,187,2023-08-31
1633,2020,2,ปทุมธานี,Pathum Thani,ธัญบุรี,THANYABURI,บ้าน,Detached House,58,481,2023-08-31
1266,2020,11,กรุงเทพมหานคร,Bangkok,บางพลัด,BANG PHLAT,คอนโด,Condo,36,128,2023-08-31
1208,2022,10,ปทุมธานี,Pathum Thani,สามโคก,SAM KHOK,ทาวน์โฮม,Townhome,12,274,2023-08-31
638,2020,10,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,ทาวน์โฮม,Townhome,26,418,2023-08-31
314,2020,3,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,บ้านแฝด,Twin house,201,3490,2023-08-31
1527,2021,12,กรุงเทพมหานคร,Bangkok,สะพานสูง,SAPHAN SUNG,ทาวน์โฮม,Townhome,49,333,2023-08-31
874,2020,11,กรุงเทพมหานคร,Bangkok,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,10,25,2023-08-31
1748,2019,7,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,บ้านแฝด,Twin house,44,267,2023-08-31
770,2020,6,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,9,15,2023-08-31
2112,2021,3,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,ทาวน์โฮม,Townhome,20,177,2023-08-31
448,2021,10,สมุทรปราการ,Samut Prakan,บางเสาธง,BANG SAO THONG,ทาวน์โฮม,Townhome,26,436,2023-08-31
2251,2021,7,กรุงเทพมหานคร,Bangkok,ราษฎร์บูรณะ,RAT BURANA,บ้าน,Detached House,19,136,2023-08-31
2283,2019,7,กรุงเทพมหานคร,Bangkok,หนองแขม,NONG KHAEM,โฮมออฟฟิศ,Home office,35,123,2023-08-31
1897,2022,3,กรุงเทพมหานคร,Bangkok,วังทองหลาง,WANG THONGLANG,โฮมออฟฟิศ,Home office,26,227,2023-08-31
1807,2019,7,กรุงเทพมหานคร,Bangkok,ดินแดง,DIN DAENG,คอนโด,Condo,52,329,2023-08-31
2298,2019,9,กรุงเทพมหานคร,Bangkok,วัฒนา,VADHANA,บ้านแฝด,Twin house,17,26,2023-08-31
1039,2020,1,กรุงเทพมหานคร,Bangkok,ทุ่งครุ,THUNG KHRU,ทาวน์โฮม,Townhome,66,1385,2023-08-31
1027,2019,7,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,ทาวน์โฮม,Townhome,136,4572,2023-08-31
2054,2021,9,กรุงเทพมหานคร,Bangkok,บางเขน,BANG KHEN,ทาวน์โฮม,Townhome,33,156,2023-08-31
