row_number,subdistrict_id,subdistrict_name_en,subdistrict_name_th,district_id,district_name_en,district_name_th,province_id,province_name_en,province_name_th,walk_leisure,walk_public_service,walk_school,walk_shopping,walk_work,walk_total,access_boat,access_bus,access_train,access_total,drive_leisure,drive_public_service,drive_school,drive_shopping,drive_work,drive_total,source,day
219,20627,KHLONG BANG BON,คลองบางบอน,3879,BANG BON,บางบอน,3781,Bangkok,กรุงเทพมหานคร,100.0,100.0,100.0,100.0,100.0,100.0,1.0,99.0,1.0,41.0,100.0,68.0,100.0,97.0,100.0,95.0,baania,2023-08-31
232,3986,NONG KHAEM,หนองแขม,3985,NONG KHAEM,หนองแขม,3781,Bangkok,กรุงเทพมหานคร,95.0,96.0,95.0,99.0,99.0,98.0,1.0,86.0,1.0,35.0,93.0,57.0,100.0,76.0,58.0,78.0,baania,2023-08-31
24,3421,KHLONG KHOI,คลองข่อย,3418,PAK KRET,ปากเกร็ด,3372,Nonthaburi,นนทบุรี,45.0,50.0,3.0,93.0,93.0,70.0,1.0,92.0,8.0,38.0,93.0,88.0,73.0,98.0,98.0,93.0,baania,2023-08-31
138,3507,BANG MUEANG,บางเมือง,3499,MUEANG SAMUT PRAKAN,เมืองสมุทรปราการ,3498,Samut Prakan,สมุทรปราการ,67.0,80.0,71.0,88.0,98.0,82.0,2.0,97.0,0.0,39.0,96.0,99.0,98.0,99.0,100.0,98.0,baania,2023-08-31
307,20625,BANG BON TAI,บางบอนใต้,3879,BANG BON,บางบอน,3781,Bangkok,กรุงเทพมหานคร,83.0,96.0,83.0,99.0,99.0,94.0,1.0,89.0,1.0,36.0,97.0,67.0,100.0,79.0,97.0,85.0,baania,2023-08-31
213,3946,MAKKASAN,มักกะสัน,3942,RATCHATHEWI,ราชเทวี,3781,Bangkok,กรุงเทพมหานคร,90.0,100.0,90.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,77.0,100.0,100.0,93.0,97.0,baania,2023-08-31
244,3573,PHANTHAI NORASING,พันท้ายนรสิงห์,3556,MUEANG SAMUT SAKHON,เมืองสมุทรสาคร,3555,Samut Sakhon,สมุทรสาคร,100.0,100.0,100.0,100.0,100.0,100.0,1.0,58.0,1.0,24.0,20.0,40.0,100.0,60.0,50.0,53.0,baania,2023-08-31
189,3863,THA RAENG,ท่าแร้ง,3862,BANG KHEN,บางเขน,3781,Bangkok,กรุงเทพมหานคร,92.0,90.0,92.0,96.0,100.0,95.0,1.0,78.0,1.0,32.0,96.0,52.0,99.0,90.0,78.0,87.0,baania,2023-08-31
59,3933,BANG WAEK,บางแวก,3928,PHASI CHAROEN,ภาษีเจริญ,3781,Bangkok,กรุงเทพมหานคร,86.0,91.0,86.0,97.0,100.0,93.0,82.0,88.0,9.0,70.0,100.0,62.0,99.0,77.0,65.0,81.0,baania,2023-08-31
104,3426,BANG PHLAP,บางพลับ,3418,PAK KRET,ปากเกร็ด,3372,Nonthaburi,นนทบุรี,50.0,72.0,7.0,92.0,91.0,73.0,1.0,69.0,4.0,29.0,89.0,100.0,64.0,100.0,100.0,94.0,baania,2023-08-31
