Time,dust_1,dust_2_5,dust_10
2020-02-05T09:00:50Z,24.43,41.76,81.82
2020-02-05T08:58:55Z,25.81,49.72,92.3
2020-02-05T08:57:00Z,25.35,46.22,71.88
2020-02-05T08:55:01Z,26.03,47.71,98.2
2020-02-05T08:53:07Z,25.27,45.7,100.97
2020-02-05T08:51:10Z,26.1,44.78,55.95
2020-02-05T08:49:16Z,26.63,46.41,80.00999
2020-02-05T08:47:22Z,27.83,48.66,85.78
2020-02-05T08:45:26Z,24.79,50.03,122.7
2020-02-05T08:43:31Z,27.93,48.12,100.86
2020-02-05T08:41:36Z,26.14,47.69,86.07
2020-02-05T08:39:41Z,27.96,51.24,103.3
2020-02-05T08:37:46Z,27.45,49.97,74.46
2020-02-05T08:35:51Z,28.09,49.54,120.52
2020-02-05T08:33:58Z,28.83,52.67,93.47
2020-02-05T08:32:03Z,26.91,48.07,97.03
2020-02-05T08:30:08Z,28.25,52.91,64.18
2020-02-05T08:28:06Z,27.06,47.86,57.23
2020-02-05T08:26:12Z,27.9,50.3,114.11
2020-02-05T08:24:15Z,29.35,56.22,93.49
2020-02-05T08:22:22Z,27.19,51.46,100.50999
2020-02-05T08:20:26Z,30.26,54.34,82.21
2020-02-05T08:18:28Z,28.13,46.65,81.67
2020-02-05T08:16:33Z,30.51,58.72,97.13
2020-02-05T08:14:38Z,29.33,52.46,74.72
2020-02-05T08:12:44Z,30.76,54.3,103.13
2020-02-05T08:10:49Z,30.03,54.6,82.72
2020-02-05T08:08:55Z,29.05,55.05,103.99
2020-02-05T08:07:01Z,28.44,49.92,77.6
2020-02-05T08:05:07Z,28.88,49.58,99.88
2020-02-05T08:03:13Z,29.59,54.86,102.13
2020-02-05T08:01:18Z,29.7,56.83,90.50999
2020-02-05T07:59:24Z,29.18,49.93,73.21
2020-02-05T07:57:30Z,32.19,59.14,110.11
2020-02-05T07:55:35Z,30.84,58.15,105.66
2020-02-05T07:53:40Z,29.72,54.14,100.05
2020-02-05T07:51:40Z,28.89,47.8,58.76
2020-02-05T07:49:45Z,29.78,53.44,95.65
2020-02-05T07:47:50Z,28.7,50.62,86.83
2020-02-05T07:45:56Z,30.04,50.61,79.09
2020-02-05T07:44:01Z,33.2,65.62,144.0
2020-02-05T07:42:07Z,29.41,53.29,110.27
2020-02-05T07:40:12Z,30.74,58.88,106.14999
2020-02-05T07:38:17Z,31.85,57.73,88.23
2020-02-05T07:36:23Z,34.31,65.66,132.47
2020-02-05T07:32:23Z,35.44,62.42,92.27
2020-02-05T07:30:29Z,32.88,62.68,107.06
2020-02-05T07:28:35Z,34.18,66.36,144.37999
2020-02-05T07:26:41Z,36.54,65.25,86.35
2020-02-05T07:24:47Z,33.68,61.38,93.12
2020-02-05T07:22:53Z,34.2,65.43,100.88
2020-02-05T07:20:59Z,33.28,58.14,69.7
2020-02-05T07:19:05Z,34.49,62.34,92.12
2020-02-05T07:17:08Z,33.01,61.51,98.35
2020-02-05T07:15:14Z,34.05,63.54,111.55
2020-02-05T07:13:20Z,31.45,57.45,100.55
2020-02-05T07:11:26Z,32.66,59.5,76.96
2020-02-05T07:09:32Z,31.55,55.08,85.93
2020-02-05T07:07:37Z,33.75,61.7,121.91
2020-02-05T07:05:44Z,31.87,60.27,105.14
2020-02-05T07:03:49Z,33.75,59.73,85.16
2020-02-05T07:01:55Z,31.45,61.92,109.43
2020-02-05T06:59:59Z,33.42,55.89,98.48
2020-02-05T06:58:06Z,30.79,58.15,94.13
2020-02-05T06:56:11Z,31.47,60.98,85.29
2020-02-05T06:54:17Z,33.39,62.9,149.58
2020-02-05T06:52:24Z,33.65,61.58,122.93999
2020-02-05T06:50:30Z,32.82,64.4,118.64
2020-02-05T06:48:36Z,28.5,53.5,82.82
2020-02-05T06:46:42Z,27.92,52.49,94.05
2020-02-05T06:44:49Z,29.55,52.93,93.68
2020-02-05T06:42:55Z,26.16,48.5,82.95
2020-02-05T06:41:01Z,29.14,49.43,108.71
2020-02-05T06:39:08Z,26.41,46.46,81.25999
2020-02-05T06:37:13Z,27.81,55.59,92.2
2020-02-05T06:35:20Z,28.68,55.1,119.88
2020-02-05T06:33:26Z,25.86,45.25,86.54
2020-02-05T06:31:33Z,25.95,46.53,76.62
2020-02-05T06:29:38Z,24.1,45.01,89.87
2020-02-05T06:27:45Z,22.08,37.26,71.29
2020-02-05T06:25:48Z,24.16,44.48,90.02
2020-02-05T06:23:55Z,22.79,41.07,50.5
2020-02-05T06:22:01Z,20.71,34.12,44.04
2020-02-05T06:20:07Z,21.7,40.54,56.61
2020-02-05T06:18:13Z,20.86,37.94,58.6
2020-02-05T06:16:16Z,19.91,36.71,84.78
2020-02-05T06:14:22Z,18.69,36.38,74.96
2020-02-05T06:12:29Z,18.01,35.48,83.39
2020-02-05T06:10:36Z,14.54,26.77,50.12
2020-02-05T06:08:42Z,14.8,31.86,97.25999
2020-02-05T06:06:48Z,16.82,36.95,94.07999
2020-02-05T06:04:55Z,14.29,28.39,49.98
2020-02-05T06:03:01Z,13.39,23.63,32.83
2020-02-05T06:01:07Z,13.61,26.37,43.2
2020-02-05T05:59:14Z,13.46,26.83,49.17
2020-02-05T05:57:19Z,13.24,26.32,90.35
2020-02-05T05:55:25Z,13.87,27.23,65.14
2020-02-05T05:53:32Z,12.93,26.22,98.81
2020-02-05T05:51:38Z,13.55,28.59,74.16
2020-02-05T05:49:44Z,13.41,26.86,42.68
2020-02-05T05:47:51Z,13.03,24.86,38.98
2020-02-05T05:45:57Z,13.21,27.59,62.59
2020-02-05T05:44:04Z,12.39,25.36,77.85
2020-02-05T05:42:11Z,13.1,26.5,72.14
2020-02-05T05:40:17Z,14.26,29.74,48.65
2020-02-05T05:38:24Z,13.82,28.9,57.39
2020-02-05T05:36:30Z,12.94,26.17,55.43
2020-02-05T05:34:36Z,14.51,29.17,58.43
2020-02-05T05:32:43Z,12.87,25.37,39.01
2020-02-05T05:30:49Z,12.73,25.55,57.35
2020-02-05T05:28:55Z,13.85,27.35,71.24
2020-02-05T05:27:01Z,12.78,29.19,69.06
2020-02-05T05:25:08Z,14.28,29.59,55.42
2020-02-05T05:23:14Z,12.47,25.82,41.49
2020-02-05T05:21:21Z,13.54,26.81,120.88
2020-02-05T05:19:25Z,12.46,20.92,25.36
2020-02-05T05:17:31Z,13.59,28.39,60.6
2020-02-05T05:15:37Z,13.59,26.88,65.35
2020-02-05T05:13:43Z,12.98,26.51,49.91
2020-02-05T05:11:49Z,13.9,30.26,49.23
2020-02-05T05:09:56Z,13.0,26.65,47.17
2020-02-05T05:08:02Z,13.33,27.93,70.28
2020-02-05T05:06:09Z,12.8,21.93,61.68
2020-02-05T05:04:15Z,13.4,24.38,52.76
2020-02-05T05:02:21Z,13.08,26.47,56.43
2020-02-05T05:00:27Z,12.59,22.65,54.89
